pcode,day,act_in_vehicle_ep_0,act_still_ep_0,audio_convo_duration_ep_0,audio_convo_num_ep_0,loc_dist_ep_0,loc_visit_num_ep_0,loc_max_dis_from_campus_ep_0,sleep_duration,unlock_duration_ep_0,unlock_num_ep_0,act_physical_ep_0,loc_home_per,loc_study_per,loc_other_per,step_ep_0,std_sleep_duration,sleep_start,std_sleep_start,sleep_end,std_sleep_end,stress_binary_personal,stress_binary_overall,call_miss_num_ep_0,call_num_ep_0,call_duration_ep_0,sms_num_ep_0
003df5deff30e1e5a07b5d063fe85c3f,2017-10-06,0.0075743880834448,0.7883995984812114,0.0954726291585629,0.1607445008460236,4.081177325205185e-05,0.4054054054054054,5.53937997882406e-05,0.2769953051643192,0.0861356710184732,0.1138055732822803,0.3060330506533681,0.412,0.332,0.089,0.1104532837265718,0.493421052631579,0.0648410814566085,0.2492466296590008,0.4873417721518987,0.5207517853407835,0,0,,,,
003df5deff30e1e5a07b5d063fe85c3f,2017-10-13,0.0034961495354134,0.7663509797931306,0.1007709636345828,0.1725888324873096,3.94026409482032e-05,0.4324324324324324,4.233550163996166e-05,0.2159624413145539,0.1227002520787087,0.1265688151457136,0.3422642568441561,0.561,0.292,0.07,0.111861594802953,0.3355263157894737,0.0726683262895849,0.2318530266983875,0.430379746835443,0.413989900498999,0,0,,,,
003df5deff30e1e5a07b5d063fe85c3f,2017-10-14,0.0243428901984887,0.7430192467158383,0.1252734285727611,0.1895093062605752,0.0001820846566517,0.4414414414414415,0.0008650850608648,0.2018779342723004,0.1311053839497347,0.1318868325888109,0.3581541181062485,0.593,0.271,0.065,0.1200125960742235,0.3289473684210526,0.0579517165518439,0.2541369283637325,0.4764899789029536,0.548719634266591,0,0,,,,
003df5deff30e1e5a07b5d063fe85c3f,2017-10-16,0.0430312014172602,0.7069000130930039,0.1367935748366424,0.2064297800338409,0.0003228976558685,0.4684684684684685,0.0016945269179157,0.136150234741784,0.1565333533993002,0.1461391193363114,0.3948724069301214,0.672,0.276,0.051,0.1185022334705683,0.0855263157894736,0.0817692352226017,0.2163098070314565,0.4357990506329113,0.4391490124600352,0,0,,,,
003df5deff30e1e5a07b5d063fe85c3f,2017-10-23,0.0397845186015401,0.7139156810544232,0.1408792623375169,0.2098138747884941,0.0003168169650064,0.4504504504504504,0.001679773152345,0.136150234741784,0.1858666616501749,0.1401829398000425,0.3873984303681506,0.634,0.302,0.065,0.1166346905214541,0.0855263157894736,0.0984426561685868,0.2319323288395453,0.4556962025316455,0.4321570502285834,0,0,,,,
003df5deff30e1e5a07b5d063fe85c3f,2017-10-31,0.0,0.7520075939423035,0.1339695065926019,0.2098138747884941,3.3352412499949246e-05,0.4414414414414415,2.8023197398070436e-05,0.1502347417840375,0.1895500206930283,0.1540097851520953,0.3665893570831814,0.623,0.337,0.04,0.1070141472574381,0.0986842105263157,0.1556185954958606,0.0982817869415807,0.4547863924050632,0.1209549705680222,0,0,,,,
003df5deff30e1e5a07b5d063fe85c3f,2017-11-07,0.0538667341552478,0.7300091651027799,0.1553424095295396,0.2318104906937394,0.0003256677702092,0.4504504504504504,0.0018553531994215,0.1455399061032863,0.2205538206855036,0.1565624335247819,0.3510510985164946,0.629,0.2739999999999999,0.026,0.0959313513954817,0.1052631578947368,0.1691078561917443,0.112741210679355,0.4620253164556961,0.1378671527176024,0,0,,,,
003df5deff30e1e5a07b5d063fe85c3f,2017-11-10,0.0538667341552478,0.7515144241260419,0.1445475194373318,0.2402707275803722,0.0003292859188443,0.4414414414414415,0.0018553276074604,0.1220657276995305,0.2354829000338613,0.1527334609657519,0.3192584731411023,0.654,0.248,0.027,0.1012526096033402,0.125,0.1873675678805071,0.1032249537404176,0.4583992616033754,0.1463232437923925,1,1,,,,
003df5deff30e1e5a07b5d063fe85c3f,2017-11-18,0.0212516721501138,0.7668899751232925,0.1666013702910819,0.2098138747884941,0.0001446945003327,0.3513513513513513,0.0006397734353921,0.1126760563380281,0.2697862974528763,0.1372048500319081,0.3256260302120261,0.794,0.179,0.027,0.0960027874645735,0.1052631578947368,0.2064262143229317,0.1355273592386994,0.4683544303797468,0.1923984820868318,1,1,,,,
003df5deff30e1e5a07b5d063fe85c3f,2017-11-19,0.0217976065656748,0.7665779251953039,0.1796956256092385,0.2098138747884941,0.0001531080224983,0.3513513513513513,0.0006397798333823,0.1032863849765258,0.2604894841792393,0.1391193363114231,0.3256002245096109,0.794,0.179,0.027,0.0956908013669073,0.1052631578947368,0.2016673420945985,0.1342056568860692,0.453876582278481,0.1944900947201721,0,0,,,,
