pcode,LOC_NUM_PLCS_VIST,LOC_TIME_NONE,LOC_TIME_WORK,LOC_TIME_EATING,LOC_TIME_SOCIAL,LOC_TIME_OTHERS,LOC_TIME_GYM,LOC_TIME_HOME,APP_DUR_WORK_sum,APP_DUR_WORK_count,APP_DUR_SOCIAL_sum,APP_DUR_SOCIAL_count,APP_DUR_sum,APP_DUR_count,keyevent_DIST_sum,keyevent_DIST_count,keyevent_TIME_sum,keyevent_TIME_count,keyevent_SOCIAL_DIST_sum,keyevent_SOCIAL_DIST_count,keyevent_ENTER_DIST_sum,keyevent_ENTER_DIST_count,keyevent_INFO_DIST_sum,keyevent_INFO_DIST_count,keyevent_HEALTH_DIST_sum,keyevent_HEALTH_DIST_count,keyevent_WORK_DIST_sum,keyevent_WORK_DIST_count,keyevent_SOCIAL_TIME_sum,keyevent_SOCIAL_TIME_count,keyevent_ENTER_TIME_sum,keyevent_ENTER_TIME_count,keyevent_INFO_TIME_sum,keyevent_INFO_TIME_count,keyevent_HEALTH_TIME_sum,keyevent_HEALTH_TIME_count,keyevent_WORK_TIME_sum,keyevent_WORK_TIME_count,SCR#entropy,SCR#state_changes,SCR#SCREEN_OFF_count,SCR#SCREEN_ON_count,SCR#unknown_count,SCR#dur_SCREEN_OFF,SCR#dur_SCREEN_ON,SCR#dur_unknown,APP_DUR_ENTER_sum,APP_DUR_ENTER_count,APP_DUR_INFO_sum,APP_DUR_INFO_count,APP_DUR_HEALTH_sum,APP_DUR_HEALTH_count,FitbitStepcount_sum,Fitbitcalorie_sum,Fitbitdistance_sum,ACT#count_ON_BICYCLE,ACT#count_STILL,ACT#count_WALKING,ACT#dur_ON_BICYCLE,ACT#dur_STILL,ACT#dur_WALKING,ACT#count_IN_VEHICLE,ACT#dur_IN_VEHICLE,ACT#count_RUNNING,ACT#dur_RUNNING,MSG_SNT#CNT,MSG_RCV#CNT,MSG#CNT,CALL#CNT,CALL#DUR,next_hour_binary_personal,stress_binary_personal,window_start_time,sleep_duration_sec,sleep_duration_hr,sleep_onset_hour,sleep_midpoint_hour
P001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.283333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.23738861083984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2020-12-07 21:00:00,,,,
P001,3.0,2.3666666666666667,30.5,23.98333333333333,0.0,0.0,0.0,0.0,339.68800400000003,6.0,469.49497500000007,41.0,2870.262975,85.0,0.0,125.0,0.0,125.0,0.0,125.0,0.0,125.0,0.0,125.0,0.0,125.0,0.0,125.0,0.0,125.0,0.0,125.0,0.0,125.0,0.0,125.0,0.0,125.0,0.8486765553516089,49.0,20.0,20.0,85.0,2623.0,341.0,481.0,0.052,6.0,0.0,0.0,0.0,0.0,1169.0,195.4939117431641,1307.913818359375,0.0,3.0,3.0,0.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,2020-12-08 09:00:00,,,,
P001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048996,4.0,1978.955035,9.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,1.0912436384160906,17.0,7.0,7.0,9.0,1905.0,54.0,95.0,609.564025,1.0,0.0,0.0,0.0,0.0,41.0,94.6017837524414,45.54443359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-08 10:00:00,,,,
P001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.136003,30.0,3357.841987,40.0,0.0,52.0,0.0,52.0,0.0,52.0,0.0,52.0,0.0,52.0,0.0,52.0,0.0,52.0,0.0,52.0,0.0,52.0,0.0,52.0,0.0,52.0,0.0,52.0,0.7001611840565405,18.0,6.0,6.0,40.0,1988.0,6.0,142.0,370.595001,1.0,0.0,0.0,0.0,0.0,86.0,102.24885559082033,95.59503173828124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-08 11:00:00,,,,
P001,4.0,5.783333333333333,4.433333333333334,1.6666666666666667,0.0,0.0,0.0,0.0166666666666666,0.0,0.0,2981.044994,18.0,3139.871981,37.0,0.0,64.0,0.0,64.0,0.0,64.0,0.0,64.0,0.0,64.0,0.0,64.0,0.0,64.0,0.0,64.0,0.0,64.0,0.0,64.0,0.0,64.0,0.0,64.0,0.9730220360245172,35.0,13.0,14.0,37.0,213.0,53.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,204.62106323242188,1901.600830078125,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,2020-12-08 12:00:00,,,,
P001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15,0.0,0.0,15.920991,16.0,1754.294016,22.0,0.0,35.0,0.0,35.0,0.0,35.0,0.0,35.0,0.0,35.0,0.0,35.0,0.0,35.0,0.0,35.0,0.0,35.0,0.0,35.0,0.0,35.0,0.0,35.0,0.9160662948426002,17.0,7.0,6.0,22.0,2401.0,16.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,91.51828002929688,232.8720703125,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,2020-12-08 13:00:00,,,,
P001,2.0,2.4,0.0,0.0,0.0,0.0,0.0,21.8,0.0,0.0,127.870989,31.0,2937.176977,53.0,0.0,77.0,0.0,77.0,0.0,77.0,0.0,77.0,0.0,77.0,0.0,77.0,0.0,77.0,0.0,77.0,0.0,77.0,0.0,77.0,0.0,77.0,0.0,77.0,0.8364907333708986,37.0,12.0,12.0,53.0,2046.0,25.0,355.0,0.010999,1.0,0.0,0.0,0.0,0.0,530.0,116.4329605102539,592.88232421875,0.0,1.0,2.0,0.0,5.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2020-12-08 14:00:00,,,,
P001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.082991000000001,16.0,12.378951,109.0,3062.884874,148.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.3183705018099163,15.0,6.0,6.0,148.0,2217.0,48.0,503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.23738861083984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-12-08 15:00:00,,,,
P001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.016666666666666,0.5099929999999999,25.0,12.815917,152.0,908.368858,254.0,0.0,267.0,0.0,267.0,0.0,267.0,0.0,267.0,0.0,267.0,0.0,267.0,0.0,267.0,0.0,267.0,0.0,267.0,0.0,267.0,0.0,267.0,0.0,267.0,0.228241798170048,16.0,6.0,7.0,254.0,833.0,47.0,2673.0,0.225994,12.0,0.009999,1.0,0.0,0.0,70.0,96.94523620605467,77.57038879394531,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2020-12-08 16:00:00,,,,
P001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.38333333333333,0.052998,3.0,0.652979,42.0,53.808958,99.0,0.0,116.0,0.0,116.0,0.0,116.0,0.0,116.0,0.0,116.0,0.0,116.0,0.0,116.0,0.0,116.0,0.0,116.0,0.0,116.0,0.0,116.0,0.0,116.0,0.5180089954788727,19.0,9.0,8.0,99.0,5.0,46.0,2891.0,0.016,2.0,0.0,0.0,0.0,0.0,136.0,112.11605834960938,151.11740112304688,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2020-12-08 17:00:00,,,,
