pcode,date,LOC_DST_ep_0,LOC_DST_ep_1,LOC_DST_ep_2,LOC_DST_ep_3,LOC_DST_ep_4,LOC_CNT_ep_0,LOC_CNT_ep_1,LOC_CNT_ep_2,LOC_CNT_ep_3,LOC_CNT_ep_4,SCR_DUR_ep_0,SCR_DUR_ep_1,SCR_DUR_ep_2,SCR_DUR_ep_3,SCR_DUR_ep_4,SCR_CNT_ep_0,SCR_CNT_ep_1,SCR_CNT_ep_2,SCR_CNT_ep_3,SCR_CNT_ep_4,ACT_IN_VEHICLE_ep_0,ACT_ON_BIKE_ep_0,ACT_RUNNING_ep_0,ACT_FOOT_ep_0,ACT_WALKING_ep_0,ACT_STILL_ep_0,ACT_TILTING_ep_0,ACT_UNKNOWN_ep_0,ACT_IN_VEHICLE_ep_1,ACT_ON_BIKE_ep_1,ACT_RUNNING_ep_1,ACT_FOOT_ep_1,ACT_WALKING_ep_1,ACT_STILL_ep_1,ACT_TILTING_ep_1,ACT_UNKNOWN_ep_1,ACT_IN_VEHICLE_ep_2,ACT_ON_BIKE_ep_2,ACT_RUNNING_ep_2,ACT_FOOT_ep_2,ACT_WALKING_ep_2,ACT_STILL_ep_2,ACT_TILTING_ep_2,ACT_UNKNOWN_ep_2,ACT_IN_VEHICLE_ep_3,ACT_ON_BIKE_ep_3,ACT_RUNNING_ep_3,ACT_FOOT_ep_3,ACT_WALKING_ep_3,ACT_STILL_ep_3,ACT_TILTING_ep_3,ACT_UNKNOWN_ep_3,ACT_IN_VEHICLE_ep_4,ACT_ON_BIKE_ep_4,ACT_RUNNING_ep_4,ACT_FOOT_ep_4,ACT_WALKING_ep_4,ACT_STILL_ep_4,ACT_TILTING_ep_4,ACT_UNKNOWN_ep_4,SLP_DUR,SLP_START,SLP_END,CON_DUR_ep_0,CON_CNT_ep_0,CON_VCN_ep_0,CON_DUR_ep_1,CON_CNT_ep_1,CON_VCN_ep_1,CON_DUR_ep_2,CON_CNT_ep_2,CON_VCN_ep_2,CON_DUR_ep_3,CON_CNT_ep_3,CON_VCN_ep_3,CON_DUR_ep_4,CON_CNT_ep_4,CON_VCN_ep_4,CAL_IN_CNT_ep_0,CAL_IN_DUR_ep_0,CAL_OUT_CNT_ep_0,CAL_OUT_DUR_ep_0,CAL_MISS_CNT_ep_0,CAL_IN_CNT_ep_1,CAL_IN_DUR_ep_1,CAL_OUT_CNT_ep_1,CAL_OUT_DUR_ep_1,CAL_MISS_CNT_ep_1,CAL_IN_CNT_ep_2,CAL_IN_DUR_ep_2,CAL_OUT_CNT_ep_2,CAL_OUT_DUR_ep_2,CAL_MISS_CNT_ep_2,CAL_IN_CNT_ep_3,CAL_IN_DUR_ep_3,CAL_OUT_CNT_ep_3,CAL_OUT_DUR_ep_3,CAL_MISS_CNT_ep_3,CAL_IN_CNT_ep_4,CAL_IN_DUR_ep_4,CAL_OUT_CNT_ep_4,CAL_OUT_DUR_ep_4,CAL_MISS_CNT_ep_4,MSG_IN_CNT_ep_0,MSG_OUT_CNT_ep_0,MSG_IN_CNT_ep_1,MSG_OUT_CNT_ep_1,MSG_IN_CNT_ep_2,MSG_OUT_CNT_ep_2,MSG_IN_CNT_ep_3,MSG_OUT_CNT_ep_3,MSG_IN_CNT_ep_4,MSG_OUT_CNT_ep_4,stress_binary_personal
P005,2015-11-13,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4651.3037,0.0,1891.741,2358.0942,401.46832,14.333333,0.0,6.3333335,6.6666665,2.0,577.0,43.666668,0.0,1779.3334,0.0,78976.0,2910.3333,2112.6667,0.0,0.0,0.0,0.0,0.0,21599.0,0.0,0.0,246.0,10.0,0.0,634.6667,0.0,17878.666,972.6667,1858.0,272.33334,9.666667,0.0,1026.3334,0.0,18332.666,1756.3334,202.66667,58.666668,24.0,0.0,118.333336,0.0,21165.666,181.33333,52.0,11.166667,0.0,89.333336,0.0,0.0,0.00034011362,0.0,0.0,0.0,0.0,0.0,0.0009532386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
P005,2015-11-16,670.40497,53.213314,171.68527,272.08887,0.0,1.0,1.0,1.0,1.0,1.0,3779.6978,0.0,2002.4014,1556.4467,220.84967,20.666666,0.0,8.333333,12.333333,0.33333334,242.0,11.333333,0.0,1009.6667,0.0,80286.0,4705.3335,144.66667,0.0,0.0,0.0,0.0,0.0,21599.0,0.0,0.0,89.0,11.333333,0.0,595.6667,0.0,18049.666,2815.6667,38.666668,130.33333,0.0,0.0,230.0,0.0,19260.666,1889.6666,89.333336,22.666666,0.0,0.0,184.0,0.0,21376.666,0.0,16.666666,13.333333,0.0,106.666664,0.0,0.0,0.0005836689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015914014,0.0,0.0,0.0,0.0,0.0,0.6666667,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666667,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
P005,2015-11-18,77.40782,0.0,0.0,39.279938,38.12788,1.0,1.0,1.0,1.0,1.0,1974.6063,9.956667,478.63733,1428.8943,57.118,11.666667,0.33333334,5.3333335,5.0,1.0,386.33334,0.0,0.0,775.6667,0.0,83324.0,1699.6666,213.33333,0.0,0.0,0.0,0.0,0.0,21599.0,0.0,0.0,191.0,0.0,0.0,385.33334,0.0,19914.0,1067.0,42.666668,195.0,0.0,0.0,382.66666,0.0,20230.0,630.0,162.33333,0.33333334,0.0,0.0,7.6666665,0.0,21581.0,2.6666667,8.333333,12.583333,0.0,100.666664,0.0,0.0,0.0004341797,0.0,0.0,0.0,0.0,0.0,0.00029708853,0.0,0.0,0.00097013544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
P005,2015-11-20,187.60495,0.0,0.0,101.318474,62.20718,1.0,1.0,1.0,1.0,1.0,3586.0647,0.0,1099.4393,2452.016,34.609333,15.333333,0.0,7.0,8.0,0.33333334,406.33334,0.0,0.0,1145.0,0.0,81886.336,2493.6667,467.66666,0.0,0.0,0.0,0.0,0.0,21598.666,0.33333334,0.0,91.333336,0.0,0.0,354.66666,0.0,20513.666,572.3333,68.0,312.66666,0.0,0.0,790.3333,0.0,18261.0,1836.3334,399.66666,2.3333333,0.0,0.0,0.0,0.0,21513.0,84.666664,0.0,10.333333,18.0,100.666664,0.0,0.0,0.00026220395,0.0,0.0,0.00065876154,0.0,0.0,0.00029708853,0.0,0.0,0.00025940337,0.0,0.0,0.0,0.0,0.0,0.33333334,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333334,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
P005,2015-11-23,97.7666,46.43442,0.0,0.0,51.332184,1.0,1.0,1.0,1.0,1.0,5364.1978,28.459333,1397.1256,2513.054,1425.5587,29.0,0.6666667,8.666667,17.666666,2.0,195.66667,25.666666,0.0,630.6667,0.0,82713.0,2620.3333,213.66667,0.0,0.0,0.0,0.0,0.0,21598.666,0.33333334,0.0,98.333336,2.6666667,0.0,156.0,0.0,20183.0,1047.3334,112.666664,89.666664,0.0,0.0,400.0,0.0,19582.334,1443.0,85.0,7.6666665,23.0,0.0,74.666664,0.0,21349.0,129.66667,16.0,10.333333,0.0,82.666664,0.0,0.0,0.00018821759,0.0,0.0,0.0,0.0,0.0,0.00031298905,0.0,0.0,0.0,0.0,0.0,0.0,0.33333334,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333334,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.6666667,0.0,0.0,0.0,0.0,3.0,2.6666667,0.0,0.0,0
P005,2015-11-25,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,8219.09,212.60033,1458.9836,5972.317,575.18866,20.666666,1.6666666,9.0,8.0,2.3333333,754.3333,28.0,0.0,2145.6667,0.0,80654.664,2519.6667,296.66666,0.0,0.0,0.0,0.0,0.0,21599.0,0.0,0.0,125.333336,2.3333333,0.0,413.0,0.0,19546.666,1425.3334,87.333336,546.6667,10.333333,0.0,1675.6666,0.0,18168.334,1000.0,199.0,82.333336,15.333333,0.0,57.0,0.0,21340.666,94.333336,10.333333,9.916667,5.3333335,84.666664,0.0,0.0,0.00018821759,0.0,0.0,0.0,0.0,0.0,0.00031298905,0.0,0.0,0.0,0.0,0.0,0.0,0.33333334,7.0,0.33333334,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333334,7.0,0.33333334,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
P005,2015-11-27,40.4466,0.0,0.0,40.4466,0.0,1.0,1.0,1.0,1.0,1.0,9360.86,9.858666,1630.8594,7328.208,391.93433,17.0,0.6666667,5.6666665,10.333333,1.0,1456.3334,25.666666,0.0,3126.0,0.0,78891.336,2368.6667,531.0,0.0,0.0,0.0,0.0,0.0,21599.0,0.0,0.0,398.66666,0.0,0.0,696.6667,0.0,19336.666,976.3333,191.66667,975.3333,10.333333,0.0,2372.3333,0.0,16614.666,1298.0,329.33334,82.333336,15.333333,0.0,57.0,0.0,21341.0,94.333336,10.0,11.416667,12.0,103.333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
P005,2015-11-30,38.061623,38.061623,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,7440.104,203.05933,1490.557,1649.121,4097.3667,17.666666,1.0,4.0,9.666667,3.0,493.33334,0.0,0.0,1139.3334,0.0,82723.336,1822.6666,220.33333,0.0,0.0,0.0,0.0,0.0,21593.0,5.6666665,0.33333334,210.0,0.0,0.0,150.66667,0.0,21101.334,105.0,33.0,209.33333,0.0,0.0,689.6667,0.0,19691.666,870.6667,138.66667,74.0,0.0,0.0,299.0,0.0,20337.334,841.3333,48.333332,9.5,20.0,96.0,0.0,0.0,0.0012833418,0.0,0.0,0.0,0.0,0.0,0.0013248542,0.0,0.0,0.0,0.0,0.0,0.0018407732,0.0,0.0,0.6666667,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666667,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
P005,2015-12-02,65.08715,0.0,0.0,65.08715,0.0,1.0,1.0,1.0,1.0,1.0,2011.102,213.62767,86.431335,1458.3276,252.71533,9.0,1.3333334,1.0,5.3333335,1.3333334,398.33334,0.0,0.0,650.3333,0.0,82903.0,2086.0,361.33334,0.6666667,0.0,0.0,6.6666665,0.0,21580.334,11.0,0.33333334,41.666668,0.0,0.0,0.33333334,0.0,21443.334,101.666664,13.0,292.0,0.0,0.0,510.33334,0.0,19149.334,1326.0,322.33334,64.0,0.0,0.0,133.0,0.0,20730.0,647.3333,25.666666,9.583333,33.333332,110.0,0.0,0.0,0.00011388225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022893773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
P005,2015-12-04,37.219135,37.219135,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,7049.5234,0.0,2301.5173,4312.8726,435.13333,11.0,0.0,2.3333333,7.6666665,1.3333334,1736.6666,51.666668,0.0,2807.3333,0.0,78425.336,2554.6667,823.3333,0.0,0.0,0.0,0.0,0.0,21598.666,0.33333334,0.0,649.0,38.666668,0.0,931.0,0.0,19300.666,477.0,203.66667,971.0,0.0,0.0,1769.6666,0.0,16436.666,1863.0,559.6667,116.666664,13.0,0.0,106.666664,0.0,21089.334,214.33333,60.0,12.583333,6.6666665,107.333336,0.0,0.0,0.00018779207,0.0,0.0,0.0,0.0,0.0,0.00016165535,0.0,0.0,0.00022893773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
